CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,Age_Bin,Active_and_High_Balance,CreditScoreAgeInteraction,Actual_Churn,Predicted_Churn,Churn_Probability
433,Spain,Male,27,2,0.0,2,1,1,153698.65,0.0,Young,0,11691,0,0,0.05
521,Germany,Male,41,8,120586.54,1,0,1,20491.15,5.884810759767021,Middle-Aged,0,21361,0,1,0.54
791,Germany,Female,33,10,130229.71,2,0,0,54019.93,2.4107715430212515,Middle-Aged,0,26103,1,0,0.18
757,France,Male,38,0,0.0,1,1,0,83263.06,0.0,Middle-Aged,0,28766,0,0,0.3
447,France,Female,44,5,89188.83,1,1,1,75408.24,1.182746474390597,Middle-Aged,0,19668,0,0,0.32
792,France,Male,30,1,127187.86,1,1,1,113553.42,1.1200707120930395,Young,0,23760,0,0,0.02
817,France,Male,59,1,118962.58,1,1,1,120819.58,0.9846299747110526,Senior,0,48203,0,0,0.17
607,France,Female,33,8,91301.72,1,0,1,130824.57,0.6978942869829421,Middle-Aged,0,20031,0,0,0.05
601,France,Male,41,1,123971.16,1,0,1,172814.99,0.7173634648244346,Middle-Aged,0,24641,0,0,0.1
536,France,Male,32,7,178011.5,2,1,0,22375.14,7.955771449921654,Middle-Aged,0,17152,0,0,0.32
554,Germany,Female,36,3,157780.93,2,1,0,6089.13,25.911900386426304,Middle-Aged,0,19944,0,0,0.18
577,France,Male,60,10,125389.7,2,1,1,178616.73,0.7020042299509122,Senior,0,34620,0,0,0.24
608,France,Female,41,5,0.0,2,1,1,72462.25,0.0,Middle-Aged,0,24928,0,0,0.08
732,Spain,Male,33,8,0.0,1,1,0,119882.7,0.0,Middle-Aged,0,24156,0,0,0.18
789,France,Female,53,1,158271.74,1,1,1,5036.39,31.425632248495447,Senior,1,41817,1,0,0.36
552,France,Female,34,5,0.0,2,1,1,1351.41,0.0,Middle-Aged,0,18768,0,0,0.03
621,France,Male,40,10,163823.37,1,0,0,89519.47,1.8300306067495706,Middle-Aged,0,24840,0,0,0.25
766,France,Female,52,7,92510.9,2,0,1,66193.61,1.3975805217452257,Senior,0,39832,0,0,0.31
685,Spain,Male,43,4,97392.18,2,1,0,43956.83,2.2156324739522844,Middle-Aged,0,29455,0,0,0.17
649,Spain,Female,38,8,0.0,1,1,0,103760.53,0.0,Middle-Aged,0,24662,0,0,0.27
493,France,Female,36,2,0.0,2,0,1,99770.3,0.0,Middle-Aged,0,17748,0,0,0.03
633,France,Male,35,10,0.0,2,1,0,65675.47,0.0,Middle-Aged,0,22155,0,0,0.0
742,Germany,Male,33,1,137937.95,1,1,1,51387.1,2.684291388305626,Middle-Aged,1,24486,0,0,0.09
604,Spain,Female,41,10,0.0,2,1,1,166224.39,0.0,Middle-Aged,0,24764,0,0,0.13
759,France,Male,42,4,105420.18,1,0,1,121409.06,0.8683057096397913,Middle-Aged,0,31878,0,0,0.15
683,France,Female,35,6,187530.66,2,1,1,37976.36,4.938089379814179,Middle-Aged,1,23905,0,0,0.29
678,France,Male,28,2,109137.12,1,1,1,58814.41,1.8556187165696296,Young,0,18984,0,0,0.13
628,France,Male,31,0,88421.81,1,0,0,72350.47,1.2221317981762938,Middle-Aged,0,19468,0,0,0.09
850,France,Female,36,6,0.0,2,1,1,190194.95,0.0,Middle-Aged,0,30600,0,0,0.1
724,France,Female,34,2,0.0,2,1,1,118863.38,0.0,Middle-Aged,0,24616,0,0,0.0
828,France,Male,31,9,0.0,1,0,1,164257.37,0.0,Middle-Aged,0,25668,0,0,0.22
569,Spain,Female,30,3,139528.23,1,1,1,33230.37,4.19881662467195,Young,1,17070,0,0,0.1
677,France,Female,49,3,0.0,2,1,1,187811.71,0.0,Middle-Aged,0,33173,0,0,0.09
495,France,Female,38,2,63093.01,1,1,1,47089.72,1.339846786092591,Middle-Aged,0,18810,0,0,0.15
627,Germany,Female,33,4,83199.05,1,0,0,159334.93,0.5221645373051597,Middle-Aged,0,20691,0,0,0.18
597,France,Female,36,9,0.0,2,1,1,7156.09,0.0,Middle-Aged,0,21492,0,0,0.2
762,France,Male,31,7,117687.35,1,1,1,159344.43,0.7385720981900654,Middle-Aged,0,23622,0,0,0.01
476,Spain,Female,69,1,105303.73,1,0,1,134260.34,0.7843249167997042,Senior,0,32844,0,0,0.3
499,France,Male,35,10,0.0,2,1,0,10722.54,0.0,Middle-Aged,0,17465,0,0,0.01
642,France,Male,62,7,0.0,2,1,1,61120.75,0.0,Senior,0,39804,0,0,0.02
562,France,Male,62,3,0.0,2,1,0,105986.01,0.0,Senior,0,34844,0,1,0.82
542,France,Female,25,7,0.0,2,0,1,82393.08,0.0,Young,0,13550,0,0,0.02
451,France,Female,31,7,140931.82,1,0,1,20388.77,6.912227662580921,Middle-Aged,1,13981,0,0,0.08
712,France,Female,37,1,106881.5,2,0,0,169386.81,0.6309906892986532,Middle-Aged,0,26344,0,0,0.19
565,France,Male,34,6,0.0,1,1,1,63173.64,0.0,Middle-Aged,0,19210,0,0,0.12
732,France,Female,36,9,0.0,1,0,0,3749.0,0.0,Middle-Aged,0,26352,1,0,0.22
771,Spain,Male,51,5,135506.58,3,1,1,152479.64,0.8886863846215795,Senior,1,39321,1,1,0.74
655,France,Female,41,5,0.0,1,0,0,36548.0,0.0,Middle-Aged,0,26855,1,0,0.3
683,Spain,Male,38,3,126152.84,1,0,0,15378.75,8.203062017394132,Middle-Aged,0,25954,0,0,0.11
764,Spain,Male,38,4,113607.47,1,1,0,91094.46,1.2471391783869183,Middle-Aged,0,29032,0,0,0.18
438,France,Male,60,7,78391.17,1,0,1,49424.6,1.5860759621726832,Senior,0,26280,0,0,0.28
762,Spain,Male,35,9,122929.42,2,0,0,149822.04,0.8205029113206574,Middle-Aged,0,26670,0,0,0.11
622,Spain,Male,39,9,0.0,2,0,1,100862.36,0.0,Middle-Aged,0,24258,0,0,0.01
660,Spain,Female,33,1,0.0,2,0,0,117834.91,0.0,Middle-Aged,0,21780,0,0,0.04
498,France,Female,30,1,0.0,2,0,0,135795.53,0.0,Young,0,14940,0,0,0.05
591,France,Male,29,6,0.0,2,1,1,108684.65,0.0,Young,0,17139,0,0,0.0
554,Germany,Female,37,4,58629.97,1,0,0,182038.6,0.32207438422400525,Middle-Aged,0,20498,0,0,0.32
506,France,Female,34,4,90307.62,1,1,1,159235.29,0.5671332026964625,Middle-Aged,0,17204,0,0,0.07
505,Germany,Female,25,5,114268.85,2,1,1,126728.27,0.9016839731182317,Young,0,12625,0,0,0.02
633,France,Female,30,6,0.0,2,0,0,41642.29,0.0,Young,0,18990,0,0,0.01
636,France,Female,24,9,0.0,2,0,1,38830.72,0.0,Young,0,15264,0,0,0.0
768,France,Female,36,5,180169.44,2,1,0,17348.56,10.385267710980045,Middle-Aged,0,27648,0,0,0.19
712,Germany,Male,43,1,141749.74,2,0,1,90905.26,1.5593128494434756,Middle-Aged,1,30616,0,0,0.35
593,Germany,Male,74,5,161434.36,2,1,1,65532.17,2.46343681278981,Elderly,1,43882,0,0,0.05
708,Spain,Male,38,8,99640.89,1,1,0,12429.22,8.016664762551471,Middle-Aged,0,26904,0,0,0.09
529,France,Female,43,0,123815.86,1,1,1,78463.99,1.5779959698710198,Middle-Aged,0,22747,1,0,0.27
579,Germany,Male,42,0,144386.32,1,1,1,22497.1,6.417996986278232,Middle-Aged,1,24318,1,0,0.17
815,France,Male,24,7,171922.72,1,0,1,178028.96,0.9657008612531355,Young,1,19560,0,0,0.13
606,Germany,Male,40,1,144757.97,2,1,1,166656.18,0.8686024724675677,Middle-Aged,1,24240,0,0,0.07
608,Spain,Female,63,3,139529.93,2,1,1,175696.16,0.7941546929654011,Senior,1,38304,1,0,0.31
648,Germany,Female,40,5,139973.65,1,1,1,667.66,209.64809933199533,Middle-Aged,1,25920,1,0,0.33
482,France,Female,35,5,147813.05,2,0,0,109029.72,1.355713377967035,Middle-Aged,0,16870,0,0,0.13
625,France,Male,45,7,137555.44,1,0,0,124607.7,1.103908024945489,Middle-Aged,0,28125,0,0,0.17
610,France,Female,27,2,0.0,2,1,0,14546.76,0.0,Young,0,16470,0,0,0.02
548,France,Male,29,5,83442.98,1,0,1,177017.39,0.47138295282740295,Young,0,15892,0,0,0.04
850,France,Female,32,5,106290.64,1,1,0,121982.73,0.8713581012656464,Middle-Aged,0,27200,0,0,0.08
580,France,Male,55,6,104305.74,1,0,1,175750.21,0.5934885653906189,Senior,0,31900,0,0,0.29
652,France,Male,27,10,107303.72,2,0,0,44435.76,2.414805553005057,Young,0,17604,0,0,0.01
687,Spain,Female,29,7,93617.07,1,0,1,113050.92,0.8280964896172451,Young,0,19923,0,0,0.03
539,France,Male,30,0,0.0,2,1,0,160979.66,0.0,Young,0,16170,0,0,0.01
470,Germany,Male,39,5,117469.91,2,0,0,63705.9,1.8439408280865666,Middle-Aged,0,18330,0,0,0.09
514,France,Female,41,7,0.0,2,1,1,3756.65,0.0,Middle-Aged,0,21074,0,0,0.05
534,France,Male,24,1,0.0,1,1,1,169653.32,0.0,Young,0,12816,0,0,0.1
661,Germany,Male,37,7,109908.06,2,1,0,115037.67,0.9554093020138533,Middle-Aged,0,24457,1,0,0.16
464,Germany,Male,37,4,155994.15,1,0,0,143665.44,1.0858154194912848,Middle-Aged,0,17168,0,0,0.14
627,Spain,Female,25,4,0.0,1,1,1,194313.93,0.0,Young,0,15675,0,0,0.15
781,Germany,Male,35,7,92526.15,2,1,1,173837.54,0.5322564389716973,Middle-Aged,0,27335,0,0,0.06
555,Germany,Male,41,10,113270.2,2,1,1,185387.14,0.6109927581816085,Middle-Aged,0,22755,0,0,0.23
619,Germany,Male,23,5,132725.1,1,1,1,143913.33,0.9222571668656407,Young,1,14237,0,0,0.08
775,Germany,Female,38,6,179886.41,2,0,0,153122.58,1.1747869582657242,Middle-Aged,0,29450,0,0,0.05
671,Germany,Female,44,0,84745.03,2,0,1,34673.98,2.444052571986256,Middle-Aged,0,29524,0,0,0.29
735,Spain,Male,36,5,0.0,2,1,0,105152.17,0.0,Middle-Aged,0,26460,0,0,0.01
724,France,Female,30,9,142475.87,1,1,1,107848.24,1.3210773768769892,Young,1,21720,0,0,0.03
662,France,Female,39,5,139562.05,2,1,0,61636.22,2.264286323853085,Middle-Aged,0,25818,0,0,0.13
657,France,Female,37,6,95845.6,1,1,0,122218.23,0.784216888102536,Middle-Aged,0,24309,0,0,0.14
809,Spain,Male,33,9,0.0,1,1,1,124045.65,0.0,Middle-Aged,0,26697,0,0,0.12
501,France,Male,35,6,99760.84,1,1,1,13591.52,7.3399325461758504,Middle-Aged,0,17535,0,0,0.05
564,France,Female,36,7,206329.65,1,1,1,46632.87,4.424553968048717,Middle-Aged,1,20304,1,0,0.34
635,France,Male,33,1,0.0,3,0,0,178067.33,0.0,Middle-Aged,0,20955,1,1,0.56
790,France,Female,33,10,135120.72,1,0,0,195204.99,0.692199108229764,Middle-Aged,0,26070,0,0,0.12
656,France,Male,37,7,112291.34,1,1,0,153157.97,0.7331733373065731,Middle-Aged,0,24272,0,0,0.02
679,France,Male,60,8,0.0,2,1,1,51380.9,0.0,Senior,0,40740,0,0,0.05
692,France,Male,66,4,159732.02,1,1,1,118188.15,1.3515062212243782,Senior,1,45672,0,0,0.06
710,France,Male,38,2,0.0,2,1,0,96.27,0.0,Middle-Aged,0,26980,0,0,0.17
769,France,Female,26,7,0.0,2,1,0,176843.53,0.0,Young,0,19994,0,0,0.0
666,France,Female,34,9,115897.12,1,1,1,25095.03,4.61832960550356,Middle-Aged,0,22644,0,0,0.05
691,France,Male,52,3,0.0,1,1,0,175843.68,0.0,Senior,0,35932,1,1,0.93
604,France,Male,36,6,116229.85,2,1,1,79633.38,1.4595619324459166,Middle-Aged,0,21744,0,0,0.03
544,France,Male,37,3,84496.71,1,0,0,79972.09,1.0565774884712906,Middle-Aged,0,20128,0,0,0.05
609,France,Male,32,7,118520.41,1,0,0,3815.48,31.063040561082747,Middle-Aged,0,19488,0,0,0.06
597,Spain,Male,35,0,127510.99,1,1,1,155356.34,0.8207646369629975,Middle-Aged,0,20895,0,0,0.1
549,France,Female,25,5,0.0,2,0,0,190857.79,0.0,Young,0,13725,0,0,0.0
722,France,Female,49,3,168197.66,1,1,0,140765.57,1.1948778383805074,Middle-Aged,0,35378,1,1,0.51
806,Spain,Male,18,3,0.0,2,1,1,86994.54,0.0,Young,0,14508,0,0,0.04
517,Germany,Male,53,0,109172.88,1,1,0,54676.1,1.9967203220419891,Senior,0,27401,1,1,0.96
651,France,Male,56,2,0.0,1,1,0,114522.68,0.0,Senior,0,36456,1,1,0.96
803,France,Female,40,6,165526.71,1,1,0,12328.08,13.426803687192166,Middle-Aged,0,32120,0,0,0.41
747,Spain,Male,37,1,0.0,2,0,1,180551.76,0.0,Middle-Aged,0,27639,0,0,0.04
648,Germany,Male,33,5,138664.24,1,1,0,29076.27,4.768983091710181,Middle-Aged,0,21384,0,0,0.32
438,France,Female,36,4,0.0,2,1,0,64420.5,0.0,Middle-Aged,0,15768,0,0,0.07
781,Spain,Female,29,6,98759.89,1,0,0,112202.64,0.8801922129461481,Young,0,22649,0,0,0.14
610,Germany,Male,57,6,106938.11,2,0,1,186612.47,0.5730491108123696,Senior,0,34770,0,0,0.38
628,France,Male,39,6,0.0,2,0,0,134441.6,0.0,Middle-Aged,0,24492,0,0,0.02
601,Spain,Male,24,7,0.0,2,0,0,144660.42,0.0,Young,0,14424,0,0,0.0
629,France,Female,31,6,0.0,1,1,1,16447.6,0.0,Middle-Aged,0,19499,1,0,0.12
738,Germany,Male,62,10,83008.31,1,1,1,42766.03,1.940987040415021,Senior,0,45756,0,0,0.41
850,Germany,Male,30,5,123210.56,2,1,1,102180.27,1.2058155649813804,Young,0,25500,0,0,0.05
587,Germany,Male,46,9,107850.82,1,1,0,139431.0,0.7735067524438611,Middle-Aged,0,27002,1,1,0.77
574,France,Male,34,1,112572.39,1,0,0,165626.6,0.6796757887923799,Middle-Aged,0,19516,0,0,0.01
535,France,Female,45,2,0.0,2,0,1,170621.55,0.0,Middle-Aged,0,24075,0,0,0.19
565,France,Male,32,9,0.0,2,1,0,5388.3,0.0,Middle-Aged,0,18080,0,0,0.0
469,Germany,Female,52,8,139493.25,3,0,0,150093.32,0.9293768037111845,Senior,0,24388,1,1,0.93
566,France,Male,42,3,108010.78,1,1,1,157486.1,0.6858432585478972,Middle-Aged,0,23772,0,0,0.1
732,Spain,Female,33,8,111379.55,1,1,1,45098.62,2.4696886512270217,Middle-Aged,0,24156,0,0,0.01
459,France,Male,26,4,149879.66,1,0,0,50016.17,2.996624091768722,Young,0,11934,0,0,0.12
798,France,Male,37,8,0.0,3,0,0,110783.28,0.0,Middle-Aged,0,29526,0,0,0.44
487,Germany,Female,61,5,110368.03,1,0,0,11384.45,9.694629955773005,Senior,0,29707,1,1,0.88
